timestamp, clocks.current.graphics [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, temperature.memory, utilization.gpu [%], memory.used [MiB], clocks_event_reasons.sw_power_cap, clocks_event_reasons.sw_thermal_slowdown, clocks_event_reasons.hw_thermal_slowdown
2026/07/17 09:53:30.314, 1192, 877, 189.95, 59, 58, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:30.366, 1192, 877, 198.31, 59, 58, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:30.419, 1192, 877, 206.72, 59, 58, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:30.471, 1192, 877, 192.34, 59, 59, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:30.560, 1192, 877, 196.40, 59, 59, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:30.612, 1192, 877, 200.36, 59, 59, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:30.664, 1192, 877, 203.23, 59, 59, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:30.716, 1192, 877, 199.27, 59, 59, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:30.768, 1192, 877, 193.39, 59, 59, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:30.820, 1192, 877, 201.18, 59, 59, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:30.872, 1192, 877, 205.15, 60, 59, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:30.967, 1192, 877, 193.30, 59, 59, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:31.018, 1192, 877, 200.09, 60, 59, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:31.071, 1192, 877, 189.69, 59, 59, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:31.122, 1192, 877, 194.00, 60, 59, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:31.174, 1192, 877, 188.99, 60, 59, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:31.231, 1192, 877, 194.35, 60, 59, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:31.283, 1192, 877, 200.70, 60, 59, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:31.334, 1192, 877, 193.91, 60, 59, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:31.386, 1192, 877, 198.31, 60, 59, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:31.438, 1192, 877, 190.90, 60, 59, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:31.491, 1192, 877, 196.53, 60, 59, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:31.543, 1192, 877, 187.07, 60, 59, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:31.595, 1192, 877, 191.51, 60, 59, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:31.647, 1192, 877, 195.92, 60, 60, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:31.698, 1192, 877, 200.70, 60, 59, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:31.753, 1192, 877, 194.74, 60, 60, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:31.805, 1192, 877, 199.40, 60, 59, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:31.857, 1192, 877, 190.78, 60, 60, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:31.913, 1192, 877, 196.53, 60, 60, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:31.965, 1192, 877, 199.88, 60, 60, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:32.017, 1192, 877, 191.61, 60, 60, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:32.069, 1192, 877, 198.66, 60, 60, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:32.120, 1192, 877, 185.28, 60, 60, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:32.175, 1192, 877, 194.61, 60, 60, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:32.226, 1192, 877, 200.23, 60, 60, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:32.278, 1192, 877, 187.78, 61, 60, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:32.334, 1192, 877, 194.13, 61, 60, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:32.386, 1192, 877, 202.48, 61, 60, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:32.437, 1192, 877, 188.03, 61, 60, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:32.490, 1192, 877, 201.32, 61, 60, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:32.542, 1192, 877, 188.26, 61, 60, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:32.596, 1192, 877, 197.14, 61, 60, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:32.648, 1192, 877, 203.37, 61, 60, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:32.700, 1192, 877, 194.61, 61, 60, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:32.756, 1192, 877, 178.92, 61, 60, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:32.808, 1192, 877, 198.66, 61, 60, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:32.860, 1192, 877, 191.74, 61, 60, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:32.912, 1192, 877, 204.05, 61, 60, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:32.964, 1192, 877, 183.95, 61, 61, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:33.018, 1192, 877, 197.83, 61, 61, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:33.070, 1192, 877, 202.41, 61, 61, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:33.121, 1192, 877, 193.30, 61, 61, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:33.178, 1192, 877, 203.71, 61, 61, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:33.230, 1192, 877, 184.80, 61, 61, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:33.281, 1192, 877, 194.61, 61, 61, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:33.334, 1192, 877, 197.48, 61, 61, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:33.385, 1192, 877, 192.82, 61, 60, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:33.439, 1192, 877, 192.09, 61, 61, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:33.491, 1192, 877, 199.75, 61, 61, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:33.543, 1192, 877, 181.92, 62, 61, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:33.595, 1192, 877, 193.04, 62, 61, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:33.646, 1192, 877, 200.23, 62, 61, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:33.700, 1192, 877, 186.59, 62, 61, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:33.752, 1192, 877, 195.09, 62, 61, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:33.804, 1192, 877, 198.92, 62, 61, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:33.856, 1192, 877, 191.26, 62, 61, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:33.908, 1192, 877, 198.92, 62, 61, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:33.961, 1192, 877, 195.70, 62, 61, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:34.013, 1192, 877, 181.68, 62, 61, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:34.064, 1192, 877, 193.52, 62, 61, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:34.117, 1192, 877, 205.35, 62, 61, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:34.168, 1192, 877, 187.78, 62, 61, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:34.222, 1192, 877, 196.74, 62, 61, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:34.273, 1192, 877, 203.10, 62, 62, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:34.325, 1192, 877, 189.21, 62, 62, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:34.378, 1192, 877, 201.32, 62, 61, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:34.429, 1192, 877, 184.80, 62, 62, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:34.483, 1192, 877, 197.01, 62, 61, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:34.535, 1192, 877, 198.10, 62, 62, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:34.587, 1192, 877, 185.28, 62, 62, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:34.642, 1192, 877, 190.30, 62, 62, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:34.694, 1192, 877, 200.70, 62, 62, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:34.745, 1192, 877, 187.90, 62, 62, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:34.797, 1192, 877, 190.65, 62, 62, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:34.849, 1192, 877, 196.53, 62, 62, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:34.905, 1192, 877, 181.68, 63, 62, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:34.956, 1192, 877, 196.74, 63, 62, 100, 14342, Not Active, Not Active, Not Active
